sentiment,objectivity,emotion,variant,type,sentence
neutral,pers,plain,announce,OTHERSP,"it should be announced yeah, I think that Kevin should take the job"
positive,pers,plain,announce,OTHERSP,"he was the victim of a burglary, he very proudly announced that he'd fitted one of these locks to his front door when we saw how he'd fitted it"
neutral,org,plain,announce,OTHERSP,then President Johnson announced he would not be standing for re-election
neutral,org,plain,announce,OTHERSP,"the defence secretary announced a number of measures, including the scrapping of a new nuclear missil"
neutral,pers,plain,announce,OTHERSP,I will ask the Secretary General to announce those. Ma'am the four elected by the life members of the order
neutral,org,plain,announce,OTHERSP,the chancellor will announce further defence cuts
neutral,org,plain,announce,OTHERSP, British Coal announced the pit was to go into the review procedure and revealed that it's lost more than six million
positive,pers,plain,announce,OTHERSP,The Lady proudly announced that the president of the Board of Trade had cut his large bath towels
neutral,org,plain,announce,OTHERSP,he new May Day Bank Holiday was announced in about nineteen seventy-two or three or something
neutral,org,plain,announce,OTHERSP,"the national figure has been announced that the, for the future year, and it does recognize the fact that"
neutral,pers,plain,announce,OTHERSP,Could you announce announce your Yes. Mike Michael Feist . . Sorry?
neutral,org,plain,announce,OTHERSP,Police have announced there's not enough evidence to bring criminal charges
neutral,org,plain,announce,OTHERSP,Graham Taylor has announced an unchanged side for tomorrow's European qualifier against
neutral,org,plain,announce,OTHERSP,we would in fact announce the results of the windsurfing committee election at the A G M and again
neutral,pers,plain,announce,OTHERSP,"It looks like they're going to announce it by stealth, one pit at a time and take it right"
neutral,org,plain,announce,OTHERSP,everything hinged on the public spending settlement to be announced next month. The truth is they're rushing through the debate
neutral,org,plain,announce,OTHERSP,"Sir Keith Joseph, announced that he would like schools and the educational world generally"
neutral,org,plain,announce,OTHERSP,But the plan announced last year to close the South Works at Cowley in the nineteen nineties will not be withdrawn
neutral,pers,plain,announce,OTHERSP,She announced her intention to deduct this er this amount from the total and to send the balance
neutral,org,plain,announce,OTHERSP,The Citizens Charter announced by the Conservative Party has been one of the most outs
negative,pers,plain,announce,OTHERSP,It's ridiculous! Well who announced it? Marion ? No. Erm David told us. Anna told us
neutral,pers,plain,announce,OTHERSP,"Michael Howard, announced a new package supposedly to help unemployed people"
neutral,pers,plain,announce,OTHERSP,"all I need to say about these, I think, is that, where the statement er to be announced is, we'll give you the names"
neutral,pers,plain,announce,OTHERSP,Can I announce that the C E C has informed me that motion eighty four Lancashire Region
neutral,pers,plain,announce,OTHERSP,you announce the quiz straight after that let all their stomachs go down
neutral,pers,plain,announce,OTHERSP,Mr will find out whether or not there is a copper bottomed guarantee when the budget is announced and until then Time please until then Please Mr please
neutral,pers,plain,announce,OTHERSP,I can announce today that we're going to put an end to the unco-ordinated and inefficient
neutral,pers,plain,announce,OTHERSP,I can announce the second scheme on the industrial side
neutral,org,plain,announce,OTHERSP,"the movement and the industry only for the company to announce thirteen hundred redundancies, as we were meeting"
positive,org,plain,announce,OTHERSP,I am delighted to announce that we will soon manufacturing ovens at our Hygena factory
neutral,org,plain,announce,OTHERSP,"The Rover car group which employs more than twelve thousand people in the Central South region, has announced its best results in ten years"
neutral,org,plain,announce,OTHERSP,"sale of stock damaged by a fire at Dickens and Jones in Milton Keynes, the store announced it's to halt the sale of animal furs"
neutral,org,plain,announce,OTHERSP,"has announced a star-spangled line up for its launch in April, celebrities such as Mike Smith"
neutral,org,plain,announce,OTHERSP,opened the building and announced a major change to the driving test
neutral,pers,plain,announce,OTHERSP,Yes I was still there er when they the initiative They announced that. Yeah yeah. Well I we used er used to live
neutral,org,plain,announce,OTHERSP,When the Tory government announced the one and a half per cent pay ceiling for public service workers
neutral,org,plain,announce,OTHERSP,elections are announced it will be the closing date for that particular election
neutral,org,plain,announce,OTHERSP,with System Ten has announced a family of control servers which will enable us to control this network of servers
negative,pers,plain,announce,OTHERSP,"they announced that marked it, you couldn't do that you'd could have to pass them round"
positive,pers,plain,announce,OTHERSP,could I announce that the collection yesterday for the Burnstall strikers realized a magnificent
positive,org,plain,announce,OTHERSP,"This modest increase announced in the budget, will be of considerable benefit to business"
neutral,org,plain,announce,OTHERSP,Black and Decker announced their intention to bring their operations er fully into Britain out of Germany
neutral,pers,plain,announce,OTHERSP,"I can announce today, a new scheme of the Know How Fund"
positive,pers,plain,announce,OTHERSP,we have a crack at Star T V. The plans we announced on twenty seventh July to demerge Doulton and float Camco are already underway
neutral,pers,plain,announce,OTHERSP,"But you say to them, You know, look at , erm one week they announced, I can't remember the figures, twenty three million investment"
neutral,pers,plain,announce,OTHERSP,his budget statement on the thirtieth of November last year er to announce that we shall be introducing a modern apprenticeship scheme
negative,org,plain,announce,OTHERSP,"And on the day that a massive increase in registered drug addicts is announced, we look at the situation in the Fox F M area"
neutral,org,plain,announce,OTHERSP,it was September and September the third I was in church when the vicar announced that war has just been declared
neutral,pers,plain,announce,OTHERSP,I found I was trying to announce it the I'd this and I'd that in there
neutral,org,plain,announce,OTHERSP,But the police have announced that they aren't bringing criminal charges against er seventeen
neutral,pers,plain,announce,OTHERSP,This time she announced it wasn't Mrs Brown's four calling birds three French hens two turtle doves and a partridge in a pear tree she had been five gold rings
negative,org,plain,announce,OTHERSP,Bupa announced record losses of sixty three point three million!
neutral,org,plain,announce,OTHERSP,When the scheme was announced the need for individual as well as corporate action was underlined by Tony
neutral,pers,plain,announce,OTHERSP,"He hasn't even the decency to announce it public himself. He sends a runner, Kaufman, to announce it"
negative,pers,violent,declare,OTHERSP,"表示后悔or fragile goods. Dangerous, haz really, he should declare  it, and people don't you know, unless you ask"
neutral,org,plain,declare,OTHERSP,war started in nineteen thirty nine it was declared on my birthday third of September. Naturally
neutral,pers,violent,declare,OTHERSP,"强调had already said she paid tax, whether she actually de declared it for tax purposes and what, what sort, what sort of figure it showed"
neutral,org,plain,declare,OTHERSP,"I put the resolution to the meeting those in favour any against declare the resolution er, carried as a special resolution"
neutral,org,plain,declare,OTHERSP,"It could be direct tax as well they may not, they'd may not have declared er Oh that's correct, yeah He's probably earning you see"
neutral,pers,plain,declare,OTHERSP,beforehand Providing they declare their interests it is what I've always thought for a long time that somebody
neutral,pers,plain,declare,OTHERSP,I declare it's been carried against and so we come back to deliverance number two as it is in the print
neutral,org,plain,declare,OTHERSP,"having done the assessments, looked at the alternatives, have declared that as their preferred route which er the next stage would then be as I say, the planning process"
neutral,org,plain,declare,OTHERSP,No the war was declared in thirty eight. Aye well that was the that was thirty nine.
neutral,org,plain,declare,OTHERSP,War was declared on Prussia and Austria on the twentieth of April
neutral,org,plain,declare,OTHERSP,"One of Britain's most successful pop singers, George Michael, has asked a High Court Judge to declare his recording contract null and void"
neutral,pers,violent,declare,OTHERSP,I have come as a teacher. I've come to declare the father to you. I've come to make him known to you
neutral,pers,violent,declare,OTHERSP,he ca the captain on the day was batting and batting and batting himself until he got to seventy Yeah I know ! and then he declared. Tell me all about it. Yeah.
neutral,org,plain,declare,OTHERSP,"grazing ground, and they will feed in rich pastures on the mountains of Israel. I will feed my flock and I will lead them to rest, declares the Lord God ."
neutral,org,plain,declare,OTHERSP,So I mind war was declared then. Oh right. Frightened the life out of us altogether
neutral,pers,violent,declare,OTHERSP,Four consortia have already declared their intention to bid
neutral,pers,violent,declare,OTHERSP,They haven’t declared it yet have they
negative,pers,plain,declare,OTHERSP,"neteen eighteen. In other words, according to because she was the defeated party, declared to be the guilty party, erm had punitive terms imposed on her"
neutral,org,plain,declare,OTHERSP,"I also ask Conservative members to declare their interest before they speak on an issue, so I better declare mine"
neutral,org,plain,declare,OTHERSP,l I suppose the way to stop is to thank you for your your attendance and declare the meeting closed. Thank you very much. Very good. Well done John. 
neutral,org,plain,declare,OTHERSP,cos clearly we've reached a stage that the County Council’s declared it's a preferred route and that's Yes
neutral,org,plain,declare,OTHERSP,"But the Fire Service don’t declare who's dead and alive, and they've got very good personnel"
neutral,pers,plain,declare,OTHERSP,"f you've got blinkers, you've gotta declare blinkers. Understand?"
neutral,org,plain,declare,OTHERSP,that's Yes. declared for people who are buying houses and etcetera and it has a certain statutory status
neutral,org,plain,declare,OTHERSP,"have got overcapacity which we’ve declared publicly so, you know, we're not saying anything different today than what we said"
neutral,pers,violent,declare,OTHERSP,"you're suppose to declare what you earn What you earn, yeah for a year and pay the tax out of that yeah"
neutral,org,plain,declare,OTHERSP,may I first of all declare an interest in this
neutral,org,plain,declare,OTHERSP,Should you have declared an interest Mr ?
neutral,org,plain,declare,OTHERSP,"Thanks for your attendance. I declarethe meeting closed. Five pounds. Nobody put five pounds on the table, eventually"
neutral,pers,violent,declare,OTHERSP,I declare that I take thi that office upon myself and will duly and faithfully fulfil the duties of it
neutral,org,plain,declare,OTHERSP,"I  declare the, er, resolution carried as an ordinary resolution"
neutral,org,plain,declare,OTHERSP,"I ought to declare an interest I suppose, erm have two hundred members and they are distributing this Christmas"
neutral,org,plain,declare,OTHERSP,"The Tory manifesto of 1983 declared, we have a goal. It finished up it turned out to be an own goal"
negative,org,plain,declare,OTHERSP,Committee declared that there was a ten to fifty percent increase in the risk of lung cancer and respiratory diseases
neutral,pers,plain,declare,OTHERSP,"if you have apprentice rider, and you've gotta declare what weight he's carrying, whether he carries five, three, or seven"
neutral,pers,plain,declare,OTHERSP,"you've gotta declare apprentice, if you have apprentice rider, and you've gotta declare what weight he's carrying"
neutral,org,plain,declare,OTHERSP,I put the resolution to the meeting those in favour any against I 	declare	 the resolution carried as an ordinary resolution
neutral,pers,violent,declare,OTHERSP,"Stephen has gone through confession, and is, he declares, Ready to forge that language, but he declares it in a language"
neutral,org,plain,declare,OTHERSP,I declare the resolution carried as a special resolution
neutral,org,plain,declare,OTHERSP,"Equally, I want to remind those who have declared an interest, that they should not vote"
neutral,pers,violent,declare,OTHERSP,"he said I must declare the good news with the kingdom of God, because for this I was sent forth"
neutral,org,plain,declare,OTHERSP,"Chief Justice of the Supreme Court declared that where the er national government, the federal government"
neutral,org,plain,declare,OTHERSP,"I got married and we moved into this address here and then that was the day after war was declared that I got married. thirty, thirty nine"
neutral,org,plain,declare,OTHERSP,"will not declare exactly what the intentions of the motions were but it's now, er now it's clear from the remarks of the speaker"
neutral,org,plain,declare,OTHERSP,"we give 'em four hundred pound. I declare my interest, Mr Chairman,I think I'm the Vice President, so They given the same grant Well"
neutral,org,plain,declare,OTHERSP,"in the same document at the same time congress is given the power to declare war. The president, it says in the constitution"
neutral,pers,violent,declare,OTHERSP,"You should declare it. They should declare if it's hazardous, infectious, infested, i it will, what's word you used?"
neutral,org,plain,declare,OTHERSP,the study they do not have a need to declare either a pecuniary or a non-pecuniary interest
negative,org,plain,declare,OTHERSP,"And though his contract has been renegotiated, he wants it declared void and unenforceable"
neutral,org,plain,declare,OTHERSP,It now leaves me with only the very pleasant duty to declare the congress open and to wish it great success
neutral,org,plain,declare,OTHERSP,when it declared the when it approved the outer route was to instruct the County Surveyor to seek ways
neutral,org,plain,declare,OTHERSP,Those in favour any against thank you. I declare the resolution carried
neutral,org,plain,declare,OTHERSP,"I declare that the motion has been carried, that is the deliverance as in print, number four on page one eight five"
neutral,org,plain,declare,OTHERSP,it's Yeah.  declare d a temp variable for temp files
negative,org,plain,declare,OTHERSP,Eighteen eighty nine the Foston selling plate at Derby was declared void after the whole field got lost in the thick fog covering the course and ended 
neutral,org,plain,declare,OTHERSP,may I declare an interest in this question as a user of the British Library
neutral,org,plain,declare,OTHERSP,I want to remind you that those who have declared an interest should not vote. Those in favour.
neutral,org,violent,declare,OTHERSP,recommended by the directors be and is hereby declared payable on first June nineteen ninety
neutral,pers,plain,declare,OTHERSP,"because you've got all of your orders and the, if you've got blinkers, you've gotta declare blinkers. Understand"
positive,org,plain,declare,OTHERSP,how come we are at the feet of those who declare good news of good things well that's more or less what we were saying isn't it?
neutral,org,plain,declare,OTHERSP,"But the Fire Service don’t declare who's dead and alive, and they've got very good personnel"
neutral,org,plain,declare,OTHERSP,the board has declared an unchanged interim dividend of five point three seven five P per share
neutral,org,plain,declare,OTHERSP,"l I also ask Conservative members to declare their interest before they speak on an issue, so I better declare mine. When I first went to work, I went and joined the union"
neutral,org,plain,declare,OTHERSP,"Germany along with all the other nations stumbled into war in nineteen fourteen, was then declared, simply because she was the defeated party, declared to be the guilty party"
neutral,org,plain,declare,OTHERSP,Bonus all er all your thirty percent is are are paid as you declare it during the assignment week after Ah sorry yeah
neutral,org,plain,declare,OTHERSP,"I declare the resolution carried, it's an ordinary resolution "
